string,fret,note,frequency_hz
G,0,G,196
G,1,G#,207.65
G,2,A,220.0
G,3,A#,233.08
G,4,B,246.94
G,5,C,261.63
G,6,C#,277.19
G,7,D,293.67
G,8,D#,311.13
G,9,E,329.63
G,10,F,349.23
G,11,F#,370.0
G,12,G,392.0
C,0,C,261.63
C,1,C#,277.19
C,2,D,293.67
C,3,D#,311.13
C,4,E,329.63
C,5,F,349.23
C,6,F#,370.0
C,7,G,392.0
C,8,G#,415.31
C,9,A,440.01
C,10,A#,466.17
C,11,B,493.89
C,12,C,523.26
E,0,E,329.63
E,1,F,349.23
E,2,F#,370.0
E,3,G,392.0
E,4,G#,415.31
E,5,A,440.0
E,6,A#,466.17
E,7,B,493.89
E,8,C,523.26
E,9,C#,554.37
E,10,D,587.33
E,11,D#,622.26
E,12,E,659.26
A,0,A,440
A,1,A#,466.16
A,2,B,493.88
A,3,C,523.25
A,4,C#,554.37
A,5,D,587.33
A,6,D#,622.25
A,7,E,659.26
A,8,F,698.46
A,9,F#,739.99
A,10,G,783.99
A,11,G#,830.61
A,12,A,880.0
