string,fret,note,frequency_hz
G,0,G,196.0
G,1,G#,208.0
G,2,A,220.0
G,3,A#,234.0
G,4,B,248.5
G,5,C,262.5
G,6,C#,278.0
G,7,D,294.0
G,8,D#,310.0
G,9,E,330.0
G,10,F,352.0
G,11,F#,374.0
G,12,G,395.5
C,0,C,261.5
C,1,C#,277.5
C,2,D,293.3
C,3,D#,310.5
C,4,E,330.0
C,5,F,350.0
C,6,F#,371.0
C,7,G,392.0
C,8,G#,415.0
C,9,A,440.0
C,10,A#,465.0
C,11,B,492.0
C,12,C,520.0
E,0,E,329.0
E,1,F,350.0
E,2,F#,370.0
E,3,G,392.0
E,4,G#,414.0
E,5,A,439.0
E,6,A#,464.0
E,7,B,492.0
E,8,C,521.0
E,9,C#,551.0
E,10,D,583.0
E,11,D#,618.0
E,12,E,654.0
A,0,A,440.0
A,1,A#,466.0
A,2,B,496.0
A,3,C,525.0
A,4,C#,556.0
A,5,D,589.0
A,6,D#,624.0
A,7,E,662.0
A,8,F,701.0
A,9,F#,742.0
A,10,G,788.0
A,11,G#,836.0
A,12,A,884.0
